,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
دانشجو,1,0,40,66,1,1,0,8,6,77.78,"[(36.3252325, 59.508435), (36.3262645, 59.508947), (36.3294626, 59.5104705), (36.3311697, 59.5112604), (36.3321615, 59.5116158), (36.3336178, 59.5120195), (36.3252325, 59.508435), (36.3371128, 59.5001567), (36.3340381, 59.5099783), (36.3336178, 59.5120195), (36.3371128, 59.5001567), (36.3290215, 59.4962902), (36.3332694, 59.4983295), (36.3371128, 59.5001567), (36.3290215, 59.4962902)]"
فرهنگ,0,0,32,89,0,1,1,13,5,66.67,"[(36.3202147, 59.5245237), (36.3215438, 59.5252266), (36.3243553, 59.5265704), (36.3282904, 59.5284507), (36.3202147, 59.5245237), (36.3336178, 59.5120195), (36.3282904, 59.5284507), (36.3298473, 59.5237246), (36.3330517, 59.5137843), (36.3336178, 59.5120195), (36.3252325, 59.508435), (36.3262645, 59.508947), (36.3294626, 59.5104705), (36.3311697, 59.5112604), (36.3321615, 59.5116158), (36.3336178, 59.5120195), (36.3252325, 59.508435)]"
شهید رضوی,0,0,47,53,0,1,0,10,1,55.56,"[(36.3409046, 59.5139748), (36.3382147, 59.5312804), (36.3383162, 59.530744), (36.3407231, 59.5173007), (36.3408009, 59.5167267), (36.3409046, 59.5139748), (36.3382147, 59.5312804), (36.3450916, 59.5331941), (36.3448255, 59.5330897), (36.3436074, 59.5327422), (36.3422139, 59.5323613), (36.3404854, 59.5318919), (36.3382147, 59.5312804), (36.3451788, 59.5152022), (36.3451174, 59.5229737), (36.3451026, 59.531234), (36.3451709, 59.5171366), (36.3451788, 59.5152022), (36.3409046, 59.5139748), (36.3412157, 59.5140834), (36.3423338, 59.5144066), (36.3428166, 59.5145448), (36.3451788, 59.5152022), (36.3409046, 59.5139748)]"
زیبا شهر,0,0,21,48,0,0,0,3,0,33.33,"[(36.3382147, 59.5312804), (36.3367292, 59.5391466), (36.3355841, 59.5455846), (36.3355252, 59.5459621), (36.3369972, 59.5381998), (36.3382147, 59.5312804), (36.3382147, 59.5312804), (36.3450916, 59.5331941), (36.3448255, 59.5330897), (36.3436074, 59.5327422), (36.3422139, 59.5323613), (36.3404854, 59.5318919), (36.3382147, 59.5312804), (36.3450916, 59.5331941), (36.3450844, 59.5347624), (36.3450991, 59.5366175), (36.3450916, 59.5331941), (36.3450991, 59.5366175), (36.3451315, 59.5462898), (36.3452517, 59.5480044), (36.3450991, 59.5366175), (36.340026, 59.5471437), (36.3435371, 59.5479842), (36.3444469, 59.5480593), (36.3452517, 59.5480044), (36.340026, 59.5471437)]"
آزادشهر,1,1,209,133,0,29,1,43,17,88.89,"[(36.315082, 59.540596), (36.3183929, 59.5414781), (36.3177391, 59.5412765), (36.3154192, 59.5406726), (36.315082, 59.540596), (36.3183929, 59.5414781), (36.3261639, 59.543501), (36.326077, 59.5434779), (36.32597, 59.5434495), (36.3198422, 59.541824), (36.3183929, 59.5414781), (36.3382147, 59.5312804), (36.3367292, 59.5391466), (36.3355841, 59.5455846), (36.3355252, 59.5459621), (36.3369972, 59.5381998), (36.3382147, 59.5312804), (36.3282904, 59.5284507), (36.3288479, 59.5286733), (36.3382147, 59.5312804), (36.3378539, 59.5311382), (36.3282904, 59.5284507), (36.3202147, 59.5245237), (36.3215438, 59.5252266), (36.3243553, 59.5265704), (36.3282904, 59.5284507), (36.3202147, 59.5245237), (36.319233, 59.5276973), (36.315082, 59.540596), (36.315455, 59.5398959), (36.319233, 59.5276973)]"
جاهد شهر,9,0,206,301,2,6,1,37,6,88.89,"[(36.3510607, 59.4658001), (36.3562949, 59.4732138), (36.3556127, 59.4719881), (36.3544654, 59.4701806), (36.3520511, 59.4668873), (36.3510607, 59.4658001), (36.3566149, 59.4739138), (36.3579766, 59.476928), (36.3590443, 59.478748), (36.3597993, 59.479904), (36.3566149, 59.4739138), (36.3597993, 59.479904), (36.362208, 59.4857312), (36.3628775, 59.4872577), (36.3653953, 59.4914132), (36.3597993, 59.479904), (36.3809188, 59.4608795), (36.3808297, 59.4609985), (36.3781433, 59.4656722), (36.3769847, 59.4677563), (36.3653953, 59.4914132), (36.3690793, 59.4855541), (36.3696884, 59.4844705), (36.37458, 59.4749245), (36.3748262, 59.4744042), (36.3809188, 59.4608795), (36.3708434, 59.4505627), (36.3809188, 59.4608795), (36.375919, 59.4548535), (36.3708434, 59.4505627), (36.3629086, 59.4442997), (36.3708434, 59.4505627), (36.370373, 59.450165), (36.3629086, 59.4442997)]"
وکیل آباد,1,0,16,51,0,0,0,22,2,55.56,"[(36.347341, 59.4424436), (36.3446734, 59.4467617), (36.3432454, 59.4508815), (36.3430307, 59.4515365), (36.3424788, 59.4532661), (36.340156, 59.460644), (36.346666, 59.4444901), (36.3469982, 59.4434856), (36.347341, 59.4424436), (36.3415513, 59.4605236), (36.3405088, 59.4605894), (36.340156, 59.460644), (36.3510607, 59.4658001), (36.350458, 59.4652103), (36.3483159, 59.4638136), (36.3464888, 59.4627841), (36.3423793, 59.4607511), (36.3415513, 59.4605236), (36.362589, 59.4201994), (36.361849, 59.4202603), (36.3663558, 59.4233966), (36.3718675, 59.4266152), (36.3725932, 59.4267225), (36.3693277, 59.4243622), (36.362589, 59.4201994), (36.361849, 59.4202603), (36.347341, 59.4424436), (36.3476696, 59.4422256), (36.3493868, 59.4410107), (36.3543667, 59.437405), (36.354712, 59.4371409), (36.3549701, 59.436911), (36.3551991, 59.4366025), (36.3573993, 59.4315068), (36.3583813, 59.4290421), (36.361849, 59.4202603)]"
ناحیه ۱ منطقه ۵,1,0,126,466,1,6,4,41,6,88.89,"[(36.2788683, 59.6555498), (36.2780805, 59.6556277), (36.2702972, 59.6571442), (36.2713087, 59.6575347), (36.2725002, 59.6577036), (36.2880812, 59.6590606), (36.2801267, 59.6557188), (36.2788683, 59.6555498), (36.293476, 59.6458698), (36.2915236, 59.6477341), (36.2910321, 59.6483637), (36.2908283, 59.6487086), (36.2900147, 59.6502771), (36.2894731, 59.6524839), (36.2880812, 59.6590606), (36.293476, 59.6458698), (36.2906592, 59.6403538), (36.2910335, 59.6417537), (36.2915748, 59.6428395), (36.293476, 59.6458698), (36.2906592, 59.6403538), (36.2894972, 59.6358306), (36.2906592, 59.6403538), (36.290371, 59.6391142), (36.2894972, 59.6358306), (36.2924812, 59.6310097), (36.2898251, 59.6335471), (36.2893688, 59.6343697), (36.2892256, 59.6348052), (36.2894972, 59.6358306), (36.2924812, 59.6310097), (36.2891431, 59.630525), (36.2924812, 59.6310097), (36.2918053, 59.6309105), (36.2891431, 59.630525), (36.2864575, 59.6293681), (36.2866933, 59.6297017), (36.2868402, 59.6298749), (36.2872324, 59.6301699), (36.2876325, 59.6303236), (36.2891431, 59.630525), (36.2864575, 59.6293681), (36.2815723, 59.6241526), (36.2864575, 59.6293681), (36.2854104, 59.6276522), (36.2848448, 59.6269173), (36.2843413, 59.6264097), (36.2830539, 59.6252507), (36.2815723, 59.6241526), (36.2815723, 59.6241526), (36.2812767, 59.6248211), (36.27692, 59.6407552), (36.279049, 59.6347421), (36.2815723, 59.6241526), (36.27692, 59.6407552), (36.2767341, 59.6411034), (36.2764914, 59.6416641), (36.2702972, 59.6571442), (36.27692, 59.6407552)]"
حرم مطهر رضوی,3,0,80,9,0,1,1,24,1,77.78,"[(36.2865655, 59.6179855), (36.2863882, 59.619112), (36.2866606, 59.6197557), (36.2876746, 59.6205926), (36.2885502, 59.6208957), (36.2893977, 59.6200991), (36.2896031, 59.6197182), (36.2896009, 59.6194768), (36.2895793, 59.6183261), (36.2865655, 59.6179855), (36.2914516, 59.6129643), (36.2904225, 59.6130502), (36.2901285, 59.6134472), (36.2895793, 59.6183261), (36.2905954, 59.6182054), (36.2908808, 59.6176797), (36.2923, 59.6144003), (36.2914516, 59.6129643), (36.2881049, 59.610545), (36.286159, 59.6114731), (36.2854283, 59.6123367), (36.2850766, 59.6128575), (36.2849202, 59.6130891), (36.2914516, 59.6129643), (36.2906041, 59.6121275), (36.2881049, 59.610545), (36.2849202, 59.6130891), (36.2846975, 59.613769), (36.2842824, 59.6155822), (36.2843688, 59.6158612), (36.2853764, 59.6174034), (36.2865655, 59.6179855), (36.2849202, 59.6130891)]"
ناحیه ۴ منطقه ۳,5,0,20,339,0,0,0,13,0,44.44,"[(36.3828157, 59.6746449), (36.3823542, 59.6748322), (36.384213, 59.6787038), (36.3851879, 59.6795076), (36.3864784, 59.6800685), (36.387463, 59.6804143), (36.3896021, 59.6804836), (36.3925902, 59.6803562), (36.3932195, 59.6803034), (36.3837458, 59.6748757), (36.3828157, 59.6746449), (36.4038415, 59.67683), (36.3932195, 59.6803034), (36.4012231, 59.6832021), (36.4023947, 59.6829713), (36.4066841, 59.6768525), (36.4038415, 59.67683), (36.430812, 59.661154), (36.4267941, 59.6617538), (36.4085655, 59.6658429), (36.4051378, 59.6667414), (36.3963997, 59.6695592), (36.4066841, 59.6768525), (36.4076138, 59.6771756), (36.4087296, 59.6773141), (36.410087, 59.677268), (36.4269311, 59.6722575), (36.4315822, 59.6622369), (36.430812, 59.661154), (36.3928957, 59.6668333), (36.3826522, 59.669795), (36.384936, 59.6703634), (36.3963997, 59.6695592), (36.3939698, 59.667041), (36.3928957, 59.6668333), (36.3792118, 59.6631562), (36.3762525, 59.6639177), (36.3703287, 59.6717049), (36.3696854, 59.674509), (36.369935, 59.6767229), (36.3736453, 59.6787669), (36.3776107, 59.6791934), (36.3784664, 59.6791472), (36.379936, 59.6782239), (36.3823542, 59.6748322), (36.3826522, 59.669795), (36.3800861, 59.6631562), (36.3792118, 59.6631562)]"
ناحیه ۳ منطقه ۷,17,0,83,130,0,1,0,30,1,66.67,"[(36.200244, 59.6683647), (36.1998309, 59.6718528), (36.2007943, 59.6764577), (36.2049335, 59.6840086), (36.2111911, 59.691778), (36.2129229, 59.6932281), (36.2266951, 59.6817309), (36.200244, 59.6683647), (36.2086132, 59.6602866), (36.2093858, 59.6612321), (36.2266951, 59.6817309), (36.2194529, 59.6730673), (36.2086132, 59.6602866), (36.2035986, 59.6459743), (36.2046439, 59.6502002), (36.2050367, 59.6517143), (36.2067086, 59.6558382), (36.2079726, 59.6588704), (36.2084108, 59.6599071), (36.2086132, 59.6602866), (36.2035986, 59.6459743), (36.2154452, 59.6268596), (36.2149432, 59.6274456), (36.2035986, 59.6459743), (36.2047889, 59.6451884), (36.205475, 59.644255), (36.2154452, 59.6268596), (36.1988196, 59.6041747), (36.2069121, 59.6249163), (36.2154452, 59.6268596), (36.1988196, 59.6041747), (36.1988196, 59.6041747), (36.1968204, 59.6049226), (36.1883457, 59.6086775), (36.1845764, 59.6206927), (36.1946401, 59.6459328), (36.199023, 59.6460763), (36.1988196, 59.6041747), (36.199023, 59.6460763), (36.1990377, 59.6466781), (36.1991814, 59.6523413), (36.1997092, 59.6588985), (36.2006325, 59.6631038), (36.199023, 59.6460763), (36.2006325, 59.6631038), (36.200244, 59.6683647), (36.2007999, 59.6638662), (36.2006325, 59.6631038)]"
ناحیه ۲ منطقه ۱۲,1,0,270,550,0,4,1,104,5,77.78,"[(36.3881988, 59.4484914), (36.3809188, 59.4608795), (36.3845438, 59.4560391), (36.3881988, 59.4484914), (36.3809188, 59.4608795), (36.3808297, 59.4609985), (36.3781433, 59.4656722), (36.3769847, 59.4677563), (36.3653953, 59.4914132), (36.3690793, 59.4855541), (36.3696884, 59.4844705), (36.37458, 59.4749245), (36.3748262, 59.4744042), (36.3809188, 59.4608795), (36.3653953, 59.4914132), (36.3675501, 59.4950656), (36.3688072, 59.4969599), (36.3711138, 59.500207), (36.3653953, 59.4914132), (36.3711138, 59.500207), (36.3722688, 59.5018752), (36.3733659, 59.503398), (36.3741481, 59.5042625), (36.3711138, 59.500207), (36.3741481, 59.5042625), (36.380253, 59.5148767), (36.3783402, 59.5097732), (36.3779322, 59.5087333), (36.3766176, 59.506815), (36.3759099, 59.5059486), (36.3741481, 59.5042625), (36.380253, 59.5148767), (36.3827071, 59.5190836), (36.3835242, 59.5199128), (36.380253, 59.5148767), (36.3948069, 59.4980271), (36.3835242, 59.5199128), (36.3842327, 59.5197642), (36.3864355, 59.5174974), (36.3872837, 59.5164697), (36.3879012, 59.5151815), (36.3886988, 59.5132991), (36.3907026, 59.5084445), (36.3941515, 59.4998128), (36.3948069, 59.4980271), (36.3904709, 59.4694998), (36.3948069, 59.4980271), (36.4020205, 59.4813196), (36.3996068, 59.4777977), (36.3982564, 59.4764882), (36.3904709, 59.4694998), (36.3881988, 59.4484914), (36.3882886, 59.4500814), (36.3904709, 59.4694998), (36.393794, 59.4608132), (36.3881988, 59.4484914)]"
ناحیه ۳ منطقه ۱۲,48,0,27,431,0,0,0,24,0,44.44,"[(36.4363934, 59.4455033), (36.4224365, 59.4609926), (36.4301655, 59.473865), (36.4443383, 59.4555531), (36.4363934, 59.4455033), (36.4301655, 59.473865), (36.4301439, 59.4925515), (36.4315251, 59.4971863), (36.4398114, 59.5059625), (36.4450245, 59.508516), (36.4342009, 59.4759593), (36.4301655, 59.473865), (36.4450245, 59.508516), (36.4485284, 59.5154253), (36.4522393, 59.522721), (36.4594879, 59.5299093), (36.4633881, 59.5289437), (36.4450245, 59.508516), (36.4633881, 59.5289437), (36.4752083, 59.5420114), (36.4676505, 59.5314971), (36.4633881, 59.5289437), (36.490408, 59.5251671), (36.4752083, 59.5420114), (36.478176, 59.5465819), (36.4845941, 59.5386211), (36.490408, 59.5251671), (36.4846993, 59.4835784), (36.490408, 59.5251671), (36.4944791, 59.5175067), (36.4989467, 59.5010702), (36.4846993, 59.4835784), (36.4612137, 59.4562236), (36.4846993, 59.4835784), (36.4826619, 59.4800202), (36.4796598, 59.4752566), (36.4728099, 59.467961), (36.4612137, 59.4562236), (36.4514626, 59.4453231), (36.4443383, 59.4555531), (36.4612137, 59.4562236), (36.4514626, 59.4453231)]"
شهید احمدی روشن,0,0,2,91,0,0,0,0,0,22.22,"[(36.3792118, 59.6631562), (36.3762525, 59.6639177), (36.3703287, 59.6717049), (36.3696854, 59.674509), (36.369935, 59.6767229), (36.3736453, 59.6787669), (36.3776107, 59.6791934), (36.3784664, 59.6791472), (36.379936, 59.6782239), (36.3823542, 59.6748322), (36.3826522, 59.669795), (36.3800861, 59.6631562), (36.3792118, 59.6631562), (36.3826522, 59.669795), (36.3819525, 59.6727776), (36.3823542, 59.6748322), (36.3828336, 59.6730995), (36.3826522, 59.669795)]"
شهرک مهرگان,3,0,18,155,0,0,1,7,0,55.56,"[(36.430812, 59.661154), (36.4267941, 59.6617538), (36.4085655, 59.6658429), (36.4051378, 59.6667414), (36.3963997, 59.6695592), (36.4066841, 59.6768525), (36.4076138, 59.6771756), (36.4087296, 59.6773141), (36.410087, 59.677268), (36.4269311, 59.6722575), (36.4315822, 59.6622369), (36.430812, 59.661154), (36.3963997, 59.6695592), (36.3954131, 59.6728903), (36.3961558, 59.670428), (36.3963997, 59.6695592), (36.3972633, 59.672091), (36.3954131, 59.6728903), (36.3968035, 59.6734965), (36.4066841, 59.6768525), (36.4066392, 59.6760821), (36.4030383, 59.6735608), (36.4018121, 59.6728313), (36.3972633, 59.672091)]"
احمد آباد,1,0,36,190,0,17,13,64,36,77.78,"[(36.2971449, 59.5731041), (36.294871, 59.5771205), (36.2910495, 59.5859518), (36.2916883, 59.5853685), (36.2920731, 59.5849219), (36.2971449, 59.5731041), (36.300124, 59.5632375), (36.2971449, 59.5731041), (36.3000922, 59.5635527), (36.300124, 59.5632375), (36.2864007, 59.5570641), (36.300124, 59.5632375), (36.2872233, 59.5571248), (36.2864007, 59.5570641), (36.2864007, 59.5570641), (36.2834663, 59.5597406), (36.2833058, 59.5635863), (36.2910495, 59.5859518), (36.2864007, 59.5570641)]"
کلاهدوز,1,0,6,102,0,2,0,14,2,66.67,"[(36.3033806, 59.5853215), (36.3124625, 59.5902776), (36.3121847, 59.5899416), (36.3118497, 59.5895956), (36.3113818, 59.5892798), (36.3033806, 59.5853215), (36.3164062, 59.5859143), (36.3140747, 59.5884698), (36.3124625, 59.5902776), (36.3164062, 59.5859143), (36.3034919, 59.5773822), (36.3164062, 59.5859143), (36.3145786, 59.5839965), (36.3119761, 59.582009), (36.3110511, 59.5814109), (36.3100893, 59.580794), (36.3091945, 59.5803219), (36.3034919, 59.5773822), (36.3034919, 59.5773822), (36.3009547, 59.5840958), (36.3012595, 59.5836143), (36.3025219, 59.580102), (36.3034919, 59.5773822), (36.3009547, 59.5840958), (36.3033806, 59.5853215), (36.3022809, 59.5847623), (36.3009547, 59.5840958)]"
ایوان,5,0,33,47,0,0,0,12,0,44.44,"[(36.2035986, 59.6459743), (36.2046439, 59.6502002), (36.2050367, 59.6517143), (36.2067086, 59.6558382), (36.2079726, 59.6588704), (36.2084108, 59.6599071), (36.2086132, 59.6602866), (36.2035986, 59.6459743), (36.2035986, 59.6459743), (36.199023, 59.6460763), (36.1995403, 59.6461245), (36.2023346, 59.6461755), (36.2029254, 59.6461433), (36.2035986, 59.6459743), (36.199023, 59.6460763), (36.1990377, 59.6466781), (36.1991814, 59.6523413), (36.1997092, 59.6588985), (36.2006325, 59.6631038), (36.199023, 59.6460763), (36.2006325, 59.6631038), (36.200244, 59.6683647), (36.2007999, 59.6638662), (36.2006325, 59.6631038), (36.2086132, 59.6602866), (36.200244, 59.6683647), (36.2029417, 59.6665589), (36.2041028, 59.6655276), (36.2069198, 59.6629857), (36.2069508, 59.662944), (36.2085266, 59.660582), (36.2086132, 59.6602866)]"
رباط,10,0,13,42,0,1,0,13,0,55.56,"[(36.1988196, 59.6041747), (36.1968204, 59.6049226), (36.1883457, 59.6086775), (36.1845764, 59.6206927), (36.1946401, 59.6459328), (36.199023, 59.6460763), (36.1988196, 59.6041747), (36.2035986, 59.6459743), (36.199023, 59.6460763), (36.1995403, 59.6461245), (36.2023346, 59.6461755), (36.2029254, 59.6461433), (36.2035986, 59.6459743), (36.2154452, 59.6268596), (36.2149432, 59.6274456), (36.2035986, 59.6459743), (36.2047889, 59.6451884), (36.205475, 59.644255), (36.2154452, 59.6268596), (36.1988196, 59.6041747), (36.2069121, 59.6249163), (36.2154452, 59.6268596), (36.1988196, 59.6041747)]"
عسگریه,0,0,0,31,0,0,0,3,0,22.22,"[(36.2344018, 59.6252087), (36.23188, 59.6253264), (36.2306676, 59.6309513), (36.2321036, 59.6325288), (36.2351547, 59.6295485), (36.2346203, 59.6258309), (36.2344018, 59.6252087), (36.2341119, 59.624868), (36.2341985, 59.6251389), (36.2344018, 59.6252087), (36.2341119, 59.624868), (36.2341119, 59.624868), (36.23188, 59.6253264), (36.2324374, 59.6252972), (36.2330302, 59.6252221), (36.233822, 59.6249887), (36.2341119, 59.624868)]"
کوی المهدی,0,0,35,67,0,1,0,5,0,44.44,"[(36.2472324, 59.5899027), (36.2534079, 59.6011037), (36.2542017, 59.6018708), (36.2555578, 59.5967276), (36.2507809, 59.5925756), (36.2493133, 59.5913404), (36.2472324, 59.5899027), (36.2542017, 59.6018708), (36.2414534, 59.601966), (36.2462287, 59.6054301), (36.2476672, 59.6064144), (36.2520733, 59.6037215), (36.2530553, 59.6030456), (36.2542017, 59.6018708), (36.2472324, 59.5899027), (36.2452953, 59.5938523), (36.2414534, 59.601966), (36.2472324, 59.5899027)]"
مقدم,0,0,2,30,0,3,0,0,0,33.33,"[(36.267787, 59.6091745), (36.2619322, 59.6150351), (36.2635266, 59.6134526), (36.2659337, 59.6110493), (36.267787, 59.6091745), (36.2623772, 59.6044645), (36.2644966, 59.6063152), (36.2660732, 59.6076858), (36.267787, 59.6091745), (36.2672258, 59.6086514), (36.2623772, 59.6044645), (36.2623772, 59.6044645), (36.2579651, 59.6087587), (36.2614212, 59.605422), (36.2623772, 59.6044645), (36.2579651, 59.6087587), (36.2582506, 59.609271), (36.2588043, 59.6101829), (36.2619322, 59.6150351), (36.2579651, 59.6087587)]"
کارگران,0,0,17,111,1,0,0,21,0,44.44,"[(36.2708723, 59.6258223), (36.2651845, 59.6296753), (36.2641699, 59.6314564), (36.2668236, 59.6311521), (36.2692591, 59.628483), (36.2708723, 59.6258223), (36.2609384, 59.6160181), (36.2614472, 59.6167785), (36.2618949, 59.6173096), (36.264795, 59.620311), (36.2708723, 59.6258223), (36.268173, 59.6230119), (36.2609384, 59.6160181), (36.2609384, 59.6160181), (36.2557006, 59.6198295), (36.2587243, 59.6181142), (36.2590271, 59.6179117), (36.2603972, 59.6165612), (36.2609384, 59.6160181), (36.2557006, 59.6198295), (36.2580623, 59.6260974), (36.2580819, 59.6254957), (36.2578224, 59.6242619), (36.2573206, 59.6229261), (36.2557006, 59.6198295), (36.2580623, 59.6260974), (36.2594811, 59.6275243), (36.2641699, 59.6314564), (36.260662, 59.6283504), (36.2580623, 59.6260974)]"
شهید بهشتی,3,0,15,192,1,6,3,30,6,88.89,"[(36.2675805, 59.5786804), (36.2661716, 59.5816711), (36.2662235, 59.5818803), (36.2838002, 59.5932623), (36.2836316, 59.5923999), (36.2834597, 59.5920928), (36.2675805, 59.5786804), (36.289408, 59.5876574), (36.2869103, 59.5901361), (36.2854023, 59.5916328), (36.2838002, 59.5932623), (36.2878627, 59.5892121), (36.289408, 59.5876574), (36.2768444, 59.5632791), (36.2758151, 59.5637512), (36.2723337, 59.5700169), (36.289408, 59.5876574), (36.2798034, 59.5643601), (36.2768444, 59.5632791), (36.2723337, 59.5700169), (36.269516, 59.5750192), (36.2675805, 59.5786804), (36.2713757, 59.572109), (36.2721131, 59.5708296), (36.2723337, 59.5700169)]"
آبادگران,7,0,42,80,1,0,0,81,0,55.56,"[(36.2526622, 59.5816067), (36.2521036, 59.59023), (36.2527785, 59.5908952), (36.2571497, 59.590989), (36.2526622, 59.5816067), (36.2628724, 59.5830725), (36.2617889, 59.5842151), (36.2586854, 59.5878374), (36.258135, 59.5885589), (36.2575542, 59.5896801), (36.2571497, 59.590989), (36.2628724, 59.5830725), (36.2675805, 59.5786804), (36.2628724, 59.5830725), (36.2668041, 59.5797908), (36.2675805, 59.5786804), (36.2723337, 59.5700169), (36.269516, 59.5750192), (36.2675805, 59.5786804), (36.2713757, 59.572109), (36.2721131, 59.5708296), (36.2723337, 59.5700169), (36.2766051, 59.5549093), (36.2752529, 59.5550609), (36.2747642, 59.5552191), (36.2741998, 59.5555812), (36.2736333, 59.5562115), (36.27327, 59.5568821), (36.2730343, 59.5578074), (36.2723337, 59.5700169), (36.2766051, 59.5549093), (36.2727759, 59.5384071), (36.2766051, 59.5549093), (36.2765914, 59.5528118), (36.2765714, 59.5523316), (36.2764411, 59.551192), (36.2762649, 59.5501497), (36.2759254, 59.5483607), (36.2755653, 59.5468667), (36.2752313, 59.5457683), (36.2740463, 59.5421943), (36.2727759, 59.5384071), (36.2677017, 59.5274363), (36.2727759, 59.5384071), (36.2716114, 59.5336385), (36.2708077, 59.5312048), (36.2698453, 59.5293107), (36.269418, 59.5286913), (36.2688756, 59.5282345), (36.2677017, 59.5274363), (36.2677017, 59.5274363), (36.2611751, 59.5396146), (36.25936, 59.5436814), (36.2586502, 59.546186), (36.2570924, 59.5542039), (36.2526622, 59.5816067), (36.2535433, 59.580108), (36.2545074, 59.5784046), (36.2677017, 59.5274363)]"
شهید بصیر,0,0,1,48,0,0,0,1,0,33.33,"[(36.3997806, 59.5101929), (36.3931115, 59.5307574), (36.3993071, 59.5266693), (36.4008632, 59.5236152), (36.4022119, 59.5143315), (36.4018376, 59.5131345), (36.3997806, 59.5101929), (36.3997806, 59.5101929), (36.3958944, 59.5144219), (36.3930916, 59.51755), (36.3878799, 59.5234457), (36.3904389, 59.5206637), (36.3997806, 59.5101929), (36.3878799, 59.5234457), (36.3931115, 59.5307574), (36.3909912, 59.527646), (36.3878799, 59.5234457)]"
حضرت حجت,0,0,24,137,1,0,0,5,0,44.44,"[(36.3672796, 59.5578782), (36.3643976, 59.5610475), (36.3614653, 59.5658357), (36.3609302, 59.5668196), (36.3617491, 59.5737907), (36.3670998, 59.5595774), (36.3672796, 59.5578782), (36.3632062, 59.5500109), (36.3647673, 59.553701), (36.3669222, 59.5577008), (36.3672796, 59.5578782), (36.3662522, 59.5544708), (36.3632062, 59.5500109), (36.3632062, 59.5500109), (36.3589782, 59.5519828), (36.360528, 59.5515458), (36.3620914, 59.5510623), (36.3624947, 59.5507462), (36.3632062, 59.5500109), (36.3589782, 59.5519828), (36.3572624, 59.5534971), (36.3566576, 59.554102), (36.3549705, 59.5566514), (36.3535211, 59.5589152), (36.3516093, 59.5621929), (36.3617491, 59.5737907), (36.3589782, 59.5519828)]"
نوید,10,0,84,224,1,0,0,23,0,55.56,"[(36.3617491, 59.5737907), (36.3620724, 59.5822682), (36.3624335, 59.5874405), (36.363142, 59.5900154), (36.3714845, 59.6034419), (36.3705811, 59.5983798), (36.3617491, 59.5737907), (36.3589782, 59.5519828), (36.3572624, 59.5534971), (36.3566576, 59.554102), (36.3549705, 59.5566514), (36.3535211, 59.5589152), (36.3516093, 59.5621929), (36.3617491, 59.5737907), (36.3589782, 59.5519828), (36.3452517, 59.5480044), (36.3477968, 59.5493289), (36.3575564, 59.5517976), (36.3589782, 59.5519828), (36.3452517, 59.5480044), (36.3452517, 59.5480044), (36.3479368, 59.564741), (36.3481874, 59.5655724), (36.3472001, 59.559567), (36.3452517, 59.5480044), (36.3481874, 59.5655724), (36.3497493, 59.576143), (36.3499005, 59.573831), (36.3497277, 59.5710629), (36.3488938, 59.5677048), (36.3481874, 59.5655724), (36.3497493, 59.576143), (36.3503196, 59.5775244), (36.3511189, 59.5788574), (36.3523503, 59.5808771), (36.3545904, 59.5845035), (36.3591698, 59.5906484), (36.360537, 59.5923892), (36.3714845, 59.6034419), (36.3663494, 59.5969543), (36.3497493, 59.576143)]"
عبادی,0,0,6,165,1,0,0,21,0,44.44,"[(36.3031026, 59.609197), (36.3032125, 59.6093045), (36.3074113, 59.6118982), (36.3115763, 59.6144362), (36.3031026, 59.609197), (36.3166142, 59.608815), (36.3115763, 59.6144362), (36.3124365, 59.6135384), (36.3153326, 59.6102822), (36.3166142, 59.608815), (36.3095457, 59.5988868), (36.3143125, 59.6055883), (36.3166142, 59.608815), (36.3095457, 59.5988868), (36.3095457, 59.5988868), (36.3052627, 59.6032226), (36.304316, 59.6053764), (36.3031026, 59.609197), (36.3095457, 59.5988868)]"
گلبرگ شمالی,0,0,0,4,0,0,0,0,0,11.11,"[(36.3301065, 59.5906268), (36.3265076, 59.5956387), (36.3272445, 59.5946221), (36.3290607, 59.5920995), (36.3301065, 59.5906268), (36.3265076, 59.5956387), (36.3294853, 59.5984161), (36.3289775, 59.597881), (36.3265076, 59.5956387), (36.3301065, 59.5906268), (36.3294853, 59.5984161), (36.3301833, 59.5919144), (36.3302092, 59.5911205), (36.3301065, 59.5906268)]"
